LEVEL,POSITION,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,5499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,27499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,21499
Senior,FRONT-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,8499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,20499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,55000
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,11499
Junior,BACK-END DEVELOPER,Erkek,Dijital / Reklam Ajansı,Hibrit,yurt_ici,TRY,7499
Middle,BACK-END DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,17499
Middle,DATA SCIENTIST,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,9499
Junior,FULL STACK DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,9499
Middle,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,13499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,13499
Senior,FRONT-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,16499
Middle,FULL STACK DEVELOPER,Erkek,Outsource,Hibrit,yurt_ici,TRY,9499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,13499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,17499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,15499
Middle,DEVOPS ENGINEER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,18499
Middle,FRONT-END DEVELOPER,Erkek,Outsource,Geçici Remote,yurt_ici,TRY,7499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Ofis,yurt_ici,TRY,15499
Junior,FRONT-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,8499
Junior,BACK-END DEVELOPER,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,8499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,16499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Remote,yurt_disi,EUR,48665
Middle,FULL STACK DEVELOPER,Erkek,E-Ticaret,Ofis,yurt_ici,TRY,9499
